,Lesson date,Lesson format,Group,Course,Length,Currency,rate
3580,2026-01-13T00:00:00.000,extra,https://drive.google.com/file/d/1JfI6b9EcKATn-l92CpUZAP5dxXQkhiuV/view?usp=sharing,,30,COP,10750
3886,2026-01-26T00:00:00.000,2026-01-01 00:00:00,COL383_IND,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],60,COP,21500
3889,2026-01-30T00:00:00.000,2026-01-01 00:00:00,COL503_IND,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],60,COP,21500
3892,2026-01-30T00:00:00.000,2026-01-01 00:00:00,COL509_IND,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],60,COP,21500
3893,2026-01-16T00:00:00.000,2026-01-01 00:00:00,COL362_IND,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],60,COP,21500
3896,2026-01-23T00:00:00.000,2026-01-01 00:00:00,COL362_IND,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],60,COP,21500
3909,2026-01-09T00:00:00.000,2026-01-01 00:00:00,COL362_IND,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],60,COP,21500
3910,2026-01-03T00:00:00.000,2026-01-01 00:00:00,COL238_IND,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],60,COP,21500
3911,2026-01-10T00:00:00.000,2026-01-01 00:00:00,COL238_IND,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],60,COP,21500
3912,2026-01-17T00:00:00.000,2026-01-01 00:00:00,COL238_IND,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],60,COP,21500
3913,2026-01-24T00:00:00.000,2026-01-01 00:00:00,COL283_IND,[1210]Desarrollador de juegos Roblox[None][10-12][90 min][40 L][LatAm][actual],60,COP,21500
3914,2026-01-31T00:00:00.000,2026-01-01 00:00:00,COL238_IND,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],60,COP,21500
4352,2026-01-15T00:00:00.000,premium,PRM_COL7845_JU-16,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
4705,2026-01-13T00:00:00.000,premium,PRM_COL7779_MA-17,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
5085,2026-01-31T00:00:00.000,premium,PRM_COL10336_SA-10,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
5139,2026-01-28T00:00:00.000,group,COL6846_MI-15,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
5155,2026-01-15T00:00:00.000,premium,PRM_COL7898_JU-19,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
5493,2026-01-05T00:00:00.000,group,COL7945_MI-18,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
5717,2026-01-28T00:00:00.000,group,COL10131_MI-14,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
5830,2026-01-29T00:00:00.000,premium,PRM_COL7898_JU-19,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
5907,2026-01-21T00:00:00.000,group,COL7235_MI-20,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
6025,2026-01-08T00:00:00.000,premium control,PRM_COL7845_JU-16,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
6158,2026-01-29T00:00:00.000,premium,PRM_COL7845_JU-16,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
6380,2026-01-14T00:00:00.000,group,COL7235_MI-20,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
6592,2026-01-10T00:00:00.000,premium,PRM_COL10336_SA-10,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
6611,2026-01-14T00:00:00.000,group,COL6846_MI-15,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
6620,2026-01-08T00:00:00.000,premium,PRM_COL7898_JU-19,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
6756,2026-01-05T00:00:00.000,group,COL8959_LU-14,[1220]Inicio de desarrollo Web[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
7186,2026-01-16T00:00:00.000,premium,PRM_COL8984_VI-17,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
7576,2026-01-28T00:00:00.000,group,COL7235_MI-20,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
7856,2026-01-15T00:00:00.000,premium,PRM_COL8699_JU-18,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
8068,2026-01-21T00:00:00.000,group,COL6846_MI-15,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
8425,2026-01-06T00:00:00.000,premium,PRM_COL7628_MA-18,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
8461,2026-01-24T00:00:00.000,premium,PRM_COL10336_SA-10,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
9015,2026-01-19T00:00:00.000,group,COL8959_LU-14,[1220]Inicio de desarrollo Web[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
9574,2026-01-07T00:00:00.000,group,COL7235_MI-20,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
9625,2026-01-24T00:00:00.000,group,COL10025_SA-11,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
9820,2026-01-17T00:00:00.000,group,COL10025_SA-11,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
10266,2026-01-22T00:00:00.000,premium,PRM_COL7845_JU-16,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
10549,2026-01-14T00:00:00.000,group,COL7945_MI-18,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
11221,2026-01-19T00:00:00.000,group,COL9001_LU-17,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
11381,2026-01-26T00:00:00.000,group,COL9001_LU-17,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
12328,2026-01-30T00:00:00.000,premium,PRM_COL8984_VI-17,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
12417,2026-01-28T00:00:00.000,group,COL7945_MI-18,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
12664,2026-01-14T00:00:00.000,group,COL10131_MI-14,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
12934,2026-01-26T00:00:00.000,group,COL8959_LU-14,[1220]Inicio de desarrollo Web[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
12973,2026-01-02T00:00:00.000,premium,PRM_COL8984_VI-17,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
12981,2026-01-12T00:00:00.000,group,COL9001_LU-17,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
13363,2026-01-22T00:00:00.000,premium,PRM_COL7898_JU-19,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
13492,2026-01-29T00:00:00.000,premium,PRM_COL8699_JU-18,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
14056,2026-01-23T00:00:00.000,premium,PRM_COL8984_VI-17,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
14491,2026-01-07T00:00:00.000,group,COL6846_MI-15,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
14757,2026-01-05T00:00:00.000,group,COL9001_LU-17,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
14947,2026-01-03T00:00:00.000,group,COL10025_SA-11,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
15195,2026-01-21T00:00:00.000,group,COL10131_MI-14,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
15274,2026-01-07T00:00:00.000,group,COL10131_MI-14,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
15660,2026-01-21T00:00:00.000,group,COL7945_MI-18,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
16112,2026-01-22T00:00:00.000,premium,PRM_COL8699_JU-18,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
16602,2026-01-10T00:00:00.000,group,COL10025_SA-11,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
16683,2026-01-20T00:00:00.000,premium,PRM_COL7779_MA-17,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
17292,2026-01-13T00:00:00.000,premium,PRM_COL7628_MA-18,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
17339,2026-01-31T00:00:00.000,group,COL10025_SA-11,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
17415,2026-01-17T00:00:00.000,premium,PRM_COL10336_SA-10,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
17467,2026-01-27T00:00:00.000,premium,PRM_COL7628_MA-18,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
17551,2026-01-08T00:00:00.000,premium,PRM_COL8699_JU-18,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
17634,2026-01-09T00:00:00.000,premium,PRM_COL8984_VI-17,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
18056,2026-01-07T00:00:00.000,group,COL7945_MI-18,[1116]Python LVL1[None][12-17][90 min][40 L][LatAm][actual],90,COP,32250
18564,2026-01-27T00:00:00.000,premium,PRM_COL7779_MA-17,[1218]Python Pro[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
18791,2026-01-12T00:00:00.000,group,COL8959_LU-14,[1220]Inicio de desarrollo Web[None][13-17][90 min][40 L][LatAm][actual],90,COP,32250
